Description,Quantity,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Quantity_Group
2,8,84.06,9,0.25,1,13.35,4,1,0,3,3,2,Low
1,18,36.0,5,0.16,1,17.99,0,0,0,1,4,0,Medium
2,34,59.68,6,0.34,1,15.93,4,1,0,0,2,2,Medium
8,40,16.31,4,0.3,1,6.51,1,1,0,0,3,2,High
7,9,3.0,8,0.41,1,5.01,0,0,0,0,1,2,Low
9,20,28.4,5,0.49,1,28.77,2,1,0,3,0,2,Medium
6,40,33.55,0,0.28,0,10.63,3,0,0,3,4,1,High
3,47,16.09,4,0.42,1,6.17,2,0,1,2,1,1,High
9,46,76.94,10,0.04,1,25.4,2,0,0,1,1,2,High
8,2,65.92,9,0.46,1,13.12,3,1,0,3,1,0,Low
1,43,21.13,9,0.07,0,12.09,0,0,0,2,1,0,High
6,39,16.36,4,0.02,2,24.95,3,0,0,2,3,2,High
8,21,49.16,7,0.36,1,25.76,3,0,0,0,0,1,Medium
1,14,85.66,10,0.02,0,7.49,2,1,0,3,0,2,Low
1,30,38.2,2,0.42,0,19.99,4,0,0,3,1,1,Medium
9,42,63.34,11,0.42,2,10.89,0,1,0,0,2,2,High
1,46,23.1,11,0.0,2,27.63,3,0,0,2,4,1,High
4,17,90.61,4,0.18,2,14.91,3,1,0,2,3,0,Medium
6,33,81.72,7,0.29,0,15.35,4,0,0,3,3,2,Medium
9,11,83.38,8,0.35,1,21.57,2,1,1,0,1,2,Low
9,42,2.07,10,0.14,1,8.46,2,1,0,1,4,2,High
3,48,49.42,2,0.15,0,14.8,2,0,0,1,1,0,High
3,8,84.97,5,0.42,1,5.05,3,0,0,2,0,2,Low
8,4,18.03,0,0.12,2,19.85,0,1,0,2,3,0,Low
5,39,72.72,4,0.11,1,24.11,4,0,0,2,4,2,High
9,42,25.56,4,0.27,0,10.56,0,0,0,3,1,2,High
0,11,83.63,2,0.35,1,10.51,1,1,0,0,2,1,Low
8,21,32.07,1,0.01,1,9.79,4,0,0,1,3,2,Medium
6,4,5.05,6,0.1,2,13.41,4,1,0,0,4,2,Low
5,47,5.68,10,0.49,2,28.5,1,0,0,0,3,2,High
5,13,89.57,7,0.47,1,8.81,1,1,0,3,4,0,Low
0,31,74.85,2,0.01,1,9.29,2,1,0,2,3,2,Medium
10,4,97.17,9,0.38,1,27.23,3,1,0,1,1,1,Low
2,16,91.5,2,0.33,2,10.81,3,0,0,3,1,1,Medium
4,40,71.99,6,0.2,0,8.09,0,1,1,1,4,1,High
9,49,2.23,8,0.36,1,14.89,4,0,0,0,2,0,High
10,42,19.62,5,0.28,2,24.27,2,0,0,2,3,2,High
8,22,22.65,10,0.32,1,15.26,0,0,0,1,0,2,Medium
2,30,28.71,4,0.1,1,18.43,0,1,0,2,3,0,Medium
0,16,27.83,10,0.24,0,16.59,4,0,0,3,3,1,Medium
9,4,19.9,9,0.17,2,5.99,2,0,0,3,4,2,Low
8,25,49.1,3,0.46,0,25.2,2,0,0,3,3,1,Medium
9,39,96.14,4,0.1,1,25.18,2,1,0,2,1,1,High
3,42,5.56,4,0.29,0,7.77,0,0,0,2,1,2,High
0,45,17.82,8,0.42,2,26.82,2,1,1,1,4,0,High
8,48,37.1,9,0.16,0,28.1,2,0,0,3,0,2,High
9,23,61.35,10,0.22,1,28.16,2,1,0,2,1,0,Medium
5,46,14.32,11,0.19,2,11.89,4,0,0,2,0,0,High
3,45,56.42,3,0.42,0,25.27,1,1,1,3,1,2,High
3,2,14.2,11,0.46,0,6.51,3,1,0,2,2,0,Low
0,32,21.19,0,0.47,0,16.79,3,1,0,0,4,1,Medium
6,8,26.85,9,0.12,0,17.41,2,0,0,0,3,2,Low
7,39,61.55,5,0.27,0,26.19,0,0,0,1,1,1,High
5,4,25.53,9,0.12,1,17.47,3,1,0,2,4,1,Low
4,27,92.74,0,0.45,0,26.28,2,0,0,3,1,2,Medium
10,36,5.48,4,0.07,0,6.8,3,1,0,3,3,1,High
6,48,49.92,3,0.15,2,5.24,2,0,1,1,3,1,High
9,48,33.36,6,0.41,2,24.94,3,0,0,2,1,1,High
4,9,37.21,11,0.33,1,10.93,4,1,1,1,1,2,Low
4,8,11.0,5,0.26,1,22.73,3,0,0,0,1,1,Low
4,14,39.81,4,0.12,0,22.6,4,1,0,2,2,2,Low
7,49,73.62,11,0.45,1,29.87,2,1,0,0,2,0,High
10,38,68.71,11,0.28,0,23.26,4,1,0,1,4,0,High
5,3,91.96,11,0.49,1,14.46,1,0,0,1,1,1,Low
3,45,6.88,9,0.38,0,23.49,4,1,0,0,4,1,High
3,10,90.41,2,0.44,2,20.95,0,1,0,3,3,2,Low
9,33,45.68,5,0.48,2,13.9,1,0,0,1,2,2,Medium
5,18,42.63,11,0.3,1,19.69,4,0,0,3,0,1,Medium
6,38,43.62,3,0.28,1,23.87,4,1,0,0,4,1,High
0,27,69.79,3,0.31,0,22.87,0,0,0,2,3,2,Medium
9,30,45.35,1,0.24,1,26.7,1,0,0,1,4,1,Medium
0,10,97.8,0,0.27,1,9.03,0,0,0,0,0,2,Low
5,40,68.35,0,0.2,1,10.7,1,0,0,3,3,2,High
2,40,60.98,1,0.33,1,22.52,0,0,0,0,1,2,High
3,14,16.59,3,0.11,0,15.23,3,0,0,0,0,0,Low
7,47,24.55,2,0.35,2,9.58,2,0,1,1,0,0,High
8,7,68.38,5,0.14,1,16.63,2,1,0,1,3,2,Low
1,11,38.46,7,0.06,1,11.19,1,1,0,0,3,1,Low
9,31,76.92,2,0.31,0,27.18,0,1,0,1,2,2,Medium
7,26,43.43,6,0.4,1,14.71,4,0,0,3,1,0,Medium
10,22,87.31,5,0.19,1,14.6,3,1,0,3,4,1,Medium
5,6,60.02,10,0.27,0,15.49,1,1,0,1,2,0,Low
8,43,88.21,3,0.19,1,15.59,3,0,0,2,0,1,High
9,15,33.59,3,0.05,1,10.87,3,1,0,3,3,1,Low
6,29,39.91,3,0.1,0,10.42,4,0,0,1,0,1,Medium
8,31,72.68,3,0.47,0,25.65,1,1,0,3,1,0,Medium
10,10,13.14,2,0.18,2,15.02,2,0,0,0,0,0,Low
5,14,15.27,1,0.36,1,13.18,0,0,0,0,0,1,Low
1,9,82.35,1,0.25,1,28.06,0,1,0,3,3,2,Low
2,24,2.27,4,0.26,1,20.52,2,0,0,1,4,0,Medium
3,37,4.72,3,0.07,2,27.76,4,0,0,3,3,0,High
6,28,57.98,1,0.09,1,24.25,3,1,0,0,4,1,Medium
10,19,96.33,5,0.14,2,26.75,1,1,1,1,4,0,Medium
10,29,93.34,2,0.1,1,27.69,2,0,0,1,2,0,Medium
6,20,44.66,7,0.33,1,24.92,1,1,1,0,1,2,Medium
6,15,80.11,2,0.26,2,29.05,1,0,0,3,4,2,Low
5,40,69.95,0,0.35,1,20.23,3,1,0,0,4,0,High
7,36,80.56,11,0.13,0,19.72,0,1,0,0,0,0,High
9,32,25.03,6,0.04,0,14.01,0,1,0,3,1,1,Medium
2,20,33.33,7,0.43,2,25.47,1,0,0,3,4,0,Medium
7,21,77.91,9,0.34,1,18.12,0,1,0,3,0,1,Medium
5,36,28.07,3,0.45,0,8.76,3,1,0,3,1,1,High
5,28,76.03,8,0.13,0,14.05,2,0,0,0,3,2,Medium
5,38,75.52,11,0.29,0,25.86,3,1,0,3,4,1,High
1,6,76.69,4,0.21,1,27.65,3,1,0,3,0,2,Low
3,5,44.21,1,0.29,0,11.91,1,1,0,3,2,2,Low
8,7,20.07,6,0.09,2,8.98,3,1,0,3,2,2,Low
0,45,10.47,1,0.38,2,25.98,4,0,0,1,3,1,High
9,47,20.21,7,0.03,2,21.81,3,1,1,3,2,1,High
1,24,49.59,4,0.37,2,7.11,0,1,0,2,2,0,Medium
9,35,26.84,7,0.3,2,14.47,4,0,0,2,1,2,Medium
5,29,86.01,8,0.09,1,7.07,1,1,0,3,0,2,Medium
7,14,74.32,5,0.38,1,28.76,1,0,0,2,3,2,Low
2,35,30.31,3,0.08,1,6.06,3,0,0,3,4,0,Medium
6,4,47.54,8,0.03,0,8.07,0,0,0,0,0,1,Low
0,18,63.78,2,0.2,2,13.67,1,1,0,3,2,1,Medium
4,48,44.99,7,0.15,2,7.98,3,1,0,1,0,2,High
0,22,79.66,10,0.3,1,6.7,3,0,0,2,3,1,Medium
4,40,59.5,11,0.21,2,19.09,4,0,0,2,1,2,High
10,30,60.15,4,0.36,0,15.3,0,0,0,0,2,2,Medium
6,42,6.7,7,0.19,0,17.74,1,0,0,0,4,2,High
0,43,79.64,3,0.45,1,27.67,3,1,0,1,2,0,High
2,43,20.85,5,0.3,0,27.64,1,0,0,1,3,0,High
4,9,12.69,10,0.16,2,10.64,4,0,0,0,2,1,Low
2,20,83.7,4,0.45,1,29.97,1,0,0,2,4,1,Medium
0,1,97.76,6,0.4,0,29.28,4,0,0,2,4,1,Low
7,18,17.39,8,0.41,2,22.2,4,1,1,1,3,0,Medium
2,4,85.16,7,0.19,2,26.56,0,0,0,3,4,1,Low
8,28,58.6,8,0.21,1,12.7,4,1,0,2,1,1,Medium
8,7,90.33,2,0.15,0,15.55,3,1,1,3,2,1,Low
2,14,29.94,9,0.05,2,18.71,3,0,0,2,0,0,Low
1,40,28.45,9,0.38,2,27.06,1,0,0,1,1,2,High
5,38,80.74,3,0.04,2,24.53,3,1,0,0,0,0,High
10,17,25.52,0,0.06,2,15.36,0,0,0,0,3,2,Medium
7,39,8.17,10,0.46,0,7.32,0,0,0,3,2,0,High
9,6,44.62,11,0.19,1,11.54,3,0,0,1,2,2,Low
4,26,60.87,11,0.49,2,29.8,1,0,0,2,2,1,Medium
6,41,70.95,4,0.35,0,19.59,0,0,0,0,1,1,High
8,4,14.99,10,0.33,2,5.17,2,1,1,2,4,0,Low
1,13,34.0,1,0.23,2,6.96,2,0,1,1,4,0,Low
7,34,45.44,1,0.12,2,20.06,4,1,0,1,0,1,Medium
8,46,10.52,10,0.32,0,5.84,2,0,0,2,1,0,High
6,18,74.28,10,0.1,2,20.97,3,0,0,1,2,0,Medium
1,24,64.47,3,0.45,0,10.03,3,0,0,2,3,0,Medium
10,30,53.55,10,0.25,1,19.88,4,1,0,3,1,1,Medium
8,10,18.87,10,0.31,0,9.06,0,0,0,2,0,2,Low
5,2,18.11,0,0.31,2,9.28,1,1,0,3,0,2,Low
9,43,20.93,9,0.22,1,6.02,0,1,0,1,2,0,High
2,29,78.99,2,0.31,1,23.75,3,0,0,1,0,2,Medium
5,1,36.68,9,0.13,2,16.97,3,1,0,1,3,2,Low
7,17,38.12,7,0.43,2,17.87,0,0,0,0,3,2,Medium
3,22,36.17,7,0.3,0,23.22,2,1,0,0,3,0,Medium
7,26,13.63,7,0.36,2,21.17,0,1,0,2,4,0,Medium
10,10,85.27,7,0.21,0,9.91,1,0,0,1,1,2,Low
3,8,57.33,9,0.43,2,11.85,0,1,0,1,1,2,Low
5,20,99.49,8,0.43,0,26.86,2,0,0,1,3,2,Medium
4,22,52.22,9,0.28,2,16.02,1,0,0,3,2,2,Medium
0,48,69.23,4,0.06,0,5.61,4,1,0,3,1,0,High
9,24,81.18,1,0.28,0,21.57,4,0,0,0,3,2,Medium
8,22,81.86,4,0.22,1,8.31,0,1,0,2,4,0,Medium
5,49,38.66,0,0.24,2,6.78,4,1,0,2,3,2,High
9,28,15.63,2,0.38,2,18.47,3,1,0,1,4,1,Medium
2,2,77.17,4,0.39,1,19.29,1,0,0,3,4,1,Low
0,42,62.97,7,0.07,2,18.43,2,1,0,0,0,2,High
8,37,17.88,11,0.32,1,6.31,0,0,0,0,2,0,High
7,4,50.17,3,0.1,1,6.11,1,1,0,2,0,0,Low
10,37,57.41,4,0.1,2,13.55,0,0,0,2,4,2,High
4,26,9.52,8,0.25,0,19.67,3,1,0,1,0,1,Medium
0,15,17.02,5,0.26,2,21.73,0,1,0,2,3,2,Low
9,35,53.85,10,0.29,2,10.35,2,1,0,0,2,0,Medium
6,47,5.53,6,0.11,1,20.94,0,0,0,1,4,1,High
0,15,38.97,0,0.38,2,19.72,0,0,0,1,4,2,Low
10,22,2.56,7,0.11,1,17.85,2,1,0,0,2,2,Medium
7,1,26.49,10,0.34,2,23.13,3,0,0,3,4,0,Low
9,10,29.31,0,0.07,2,7.77,0,1,0,2,1,1,Low
9,48,35.38,2,0.06,0,27.56,2,1,1,3,2,0,High
7,1,89.37,6,0.13,2,8.0,4,1,0,1,1,0,Low
6,12,28.41,11,0.08,0,11.15,2,1,0,2,1,1,Low
5,41,13.71,5,0.22,1,15.81,3,1,0,3,4,0,High
6,24,6.94,8,0.38,0,9.97,3,1,0,0,0,2,Medium
5,26,99.22,11,0.19,2,14.37,2,1,0,0,3,1,Medium
10,43,10.51,5,0.16,0,15.78,0,0,0,2,1,0,High
2,2,36.79,11,0.27,2,6.59,2,0,0,3,0,1,Low
6,19,23.45,4,0.46,0,17.12,2,1,0,0,4,1,Medium
8,25,7.42,11,0.1,0,8.87,2,0,0,0,0,1,Medium
1,39,54.62,8,0.21,0,24.93,3,0,0,2,1,0,High
0,1,4.46,5,0.08,2,28.32,1,1,0,0,4,2,Low
4,31,72.24,7,0.1,1,5.83,4,1,0,0,0,1,Medium
9,4,60.43,7,0.11,2,15.94,2,0,0,0,4,2,Low
7,3,23.94,8,0.24,1,19.59,1,1,0,2,4,2,Low
8,36,49.64,6,0.42,0,16.39,3,1,0,2,2,2,High
3,11,1.66,3,0.49,1,27.35,3,0,0,1,3,0,Low
3,9,77.72,8,0.29,1,8.88,4,1,0,3,4,1,Low
6,42,6.77,4,0.43,2,29.15,0,1,0,0,0,1,High
0,41,23.32,8,0.26,2,22.68,1,1,0,3,3,0,High
8,20,62.74,3,0.3,2,6.09,3,1,0,3,4,0,Medium
6,9,5.75,6,0.21,0,25.84,1,1,0,0,3,0,Low
2,18,81.72,0,0.02,0,18.38,0,1,1,2,4,2,Medium
0,45,33.12,9,0.38,2,23.83,4,1,1,1,1,0,High
1,36,21.89,0,0.3,0,25.23,3,0,0,2,4,1,High
8,42,85.33,0,0.45,0,11.36,4,1,0,1,3,0,High
0,32,65.78,1,0.04,0,28.56,2,0,0,3,0,2,Medium
2,4,89.98,10,0.11,2,18.79,0,1,0,0,1,2,Low
2,30,39.67,10,0.42,0,25.2,0,1,0,2,2,1,Medium
3,11,98.0,5,0.5,1,28.98,4,0,0,1,4,2,Low
6,42,95.54,11,0.46,0,28.49,2,0,0,1,1,0,High
4,19,57.43,2,0.43,2,10.65,2,1,0,0,1,2,Medium
10,18,73.03,0,0.49,0,10.65,4,1,0,0,3,0,Medium
10,45,37.86,4,0.1,0,9.98,3,1,0,3,4,2,High
8,5,6.75,11,0.31,1,7.78,0,0,0,0,1,1,Low
10,43,33.67,0,0.37,2,5.69,0,1,0,0,0,2,High
3,38,26.46,7,0.19,2,27.54,0,1,0,3,4,2,High
6,19,14.31,3,0.25,0,7.87,1,1,0,1,4,1,Medium
4,2,93.45,7,0.2,1,9.68,0,0,0,1,2,1,Low
4,19,88.51,3,0.48,1,26.57,1,0,0,3,4,1,Medium
1,37,28.9,3,0.17,1,13.69,4,0,0,2,1,2,High
10,43,99.98,3,0.08,2,25.28,4,0,1,2,0,2,High
9,11,91.13,7,0.45,1,29.4,1,1,0,0,0,0,Low
10,13,10.29,5,0.05,2,12.01,1,1,0,1,2,1,Low
0,20,25.01,7,0.1,0,7.52,2,0,0,2,2,0,Medium
10,42,33.58,7,0.49,0,27.09,2,1,0,1,2,0,High
1,42,23.12,0,0.34,2,19.39,3,0,0,0,3,2,High
3,2,14.96,0,0.17,1,17.25,0,1,0,2,1,0,Low
4,9,40.76,9,0.33,1,10.95,1,0,0,3,3,0,Low
7,7,76.65,6,0.13,1,26.96,3,0,0,1,3,0,Low
0,4,89.81,5,0.31,0,20.4,1,0,0,3,2,0,Low
10,48,38.07,6,0.37,2,19.41,4,0,0,3,1,2,High
9,2,63.59,11,0.03,2,5.6,0,0,1,1,1,1,Low
1,23,48.11,11,0.36,1,13.09,2,0,0,1,4,1,Medium
0,1,70.03,6,0.42,1,27.41,0,1,0,0,3,1,Low
10,49,73.46,10,0.27,0,26.14,2,0,0,1,0,2,High
9,5,2.78,4,0.45,0,19.54,4,1,1,2,0,2,Low
5,32,69.65,1,0.18,1,8.28,3,0,0,3,4,2,Medium
0,19,5.92,0,0.48,0,27.23,4,1,0,1,2,0,Medium
1,31,23.43,2,0.31,0,21.54,0,1,0,0,2,2,Medium
8,4,29.77,7,0.33,1,28.88,3,1,0,3,1,0,Low
2,7,60.7,11,0.46,2,27.71,4,1,0,1,0,0,Low
9,33,48.31,10,0.46,2,17.82,4,0,0,0,0,0,Medium
3,6,60.25,5,0.45,1,17.49,1,1,0,3,3,2,Low
5,34,96.47,6,0.24,0,10.87,3,1,0,0,1,0,Medium
7,15,65.0,11,0.32,0,12.74,3,0,0,1,0,2,Low
3,28,71.78,9,0.02,2,29.01,1,1,0,0,2,2,Medium
4,16,35.23,7,0.08,0,6.34,0,1,0,2,1,0,Medium
10,21,43.84,0,0.33,0,26.21,3,1,0,2,0,2,Medium
4,22,14.4,2,0.21,0,22.87,0,0,0,3,1,1,Medium
6,33,34.78,11,0.38,2,6.79,3,1,0,3,3,0,Medium
9,35,8.58,1,0.11,1,16.74,2,1,0,0,4,2,Medium
1,25,37.79,11,0.24,1,14.02,2,1,0,0,1,0,Medium
9,40,73.8,8,0.33,0,16.38,1,1,0,3,3,0,High
8,26,70.16,7,0.29,2,16.03,2,1,0,3,1,2,Medium
1,19,57.33,4,0.17,1,14.33,2,1,0,1,4,1,Medium
6,20,48.45,8,0.15,2,10.62,0,1,0,2,2,2,Medium
10,30,82.62,10,0.01,1,23.83,3,0,0,3,1,1,Medium
